ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
60,3,68.0,13517,1,1,1,1,1,1,1,0,0,1,1,2,6,8,1976,2005,2,1,2,1,1,289.0,4,3,2,3,3,1,6,533.0,1,0.0,192.0,725.0,1,5,1,2,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,2,0,0,5,1976.0,2,2.0,475.0,3,3,2,0,44,0,0,0,0,0,0,0,0,3,2010,WD ,130500
60,3,43.0,11492,1,1,1,1,1,1,1,0,1,1,1,2,7,5,1996,1997,2,1,3,3,1,132.0,4,3,2,4,3,1,6,637.0,1,0.0,276.0,913.0,1,5,1,2,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,2,1,3,5,1997.0,2,2.0,559.0,3,3,2,0,74,0,0,0,0,0,0,0,0,4,2009,WD ,220000
20,3,68.0,7922,1,1,2,1,1,2,1,0,1,1,1,2,5,7,1953,2007,2,1,3,3,2,0.0,3,4,2,3,3,1,6,731.0,1,0.0,326.0,1057.0,1,3,1,2,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,2,0,0,1,1953.0,1,1.0,246.0,3,3,2,0,52,0,0,0,0,0,0,0,0,1,2010,WD ,109000
60,3,73.0,9802,1,1,2,1,1,2,1,1,1,1,1,2,5,5,2006,2007,2,1,3,3,2,0.0,3,3,2,4,3,1,1,0.0,1,0.0,384.0,384.0,1,4,1,2,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,2,0,0,3,2007.0,3,2.0,400.0,3,3,2,100,0,0,0,0,0,0,0,0,0,4,2010,WD ,174000
50,3,82.0,14235,1,1,1,1,1,2,1,0,1,1,1,1,6,8,1900,1993,2,1,1,1,2,0.0,3,3,2,2,4,1,1,0.0,1,0.0,676.0,676.0,1,3,1,2,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,2,0,0,1,1957.0,1,2.0,484.0,3,3,0,0,59,0,0,0,0,0,0,0,0,3,2010,WD ,138500
20,3,137.0,16492,1,1,1,1,1,1,1,0,0,1,1,2,6,6,1966,2002,2,1,0,1,2,0.0,4,3,2,3,3,1,5,247.0,3,713.0,557.0,1517.0,1,5,1,2,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,1,1,4,5,1966.0,3,2.0,578.0,3,3,2,0,0,0,0,0,0,0,0,0,0,6,2010,WD ,190000
180,2,35.0,3675,1,1,2,1,1,2,1,0,1,1,1,0,6,5,2005,2006,2,1,3,3,1,82.0,3,3,2,4,3,4,6,547.0,1,0.0,0.0,547.0,1,4,1,2,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,2,0,0,4,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,0,0,0,6,2006,0,140000
20,3,68.0,12160,1,1,1,1,1,2,1,0,1,1,1,2,5,5,1959,1959,1,1,1,1,1,180.0,3,3,2,3,3,1,3,1000.0,1,0.0,188.0,1188.0,1,2,1,2,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,2,0,0,5,1959.0,2,2.0,531.0,3,3,2,0,0,0,0,0,0,0,3,0,0,5,2010,0,142000
20,3,68.0,15783,1,1,2,1,1,2,1,0,0,1,1,2,5,5,1952,1952,2,1,1,1,2,0.0,3,3,2,3,3,1,3,292.0,1,0.0,632.0,924.0,1,3,1,2,924,0,0,924,0.0,0.0,1,0,2,1,3,6,2,0,0,1,1952.0,1,1.0,420.0,3,3,2,0,324,0,0,0,0,0,3,1,400,6,2007,WD ,112500
60,3,70.0,11606,1,1,1,0,1,2,0,0,1,1,1,2,5,5,1969,1969,2,1,1,1,1,192.0,3,3,2,4,3,3,3,650.0,1,0.0,390.0,1040.0,1,3,1,2,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,2,2,3,5,1969.0,1,2.0,504.0,3,3,2,335,0,0,0,0,0,0,0,0,0,9,2007,WD ,135000
