,lot_area,utilities,overall_qual,overall_cond,year_built,year_remod/add,exter_qual,exter_cond,bsmt_qual,bsmt_cond,total_bsmt_sf,heating,heating_qc,1st_flr_sf,2nd_flr_sf,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,total_sf,saleprice
0,13517,1,6,8,34,5,4,3,3,3,725.0,1,5,725,754,2,1,3,1,4,6,0,0,0,0,1,0,0,0,2204.0,130500
1,11492,1,7,5,14,13,4,3,4,3,913.0,1,5,913,1209,2,1,4,1,4,8,0,1,0,0,0,0,0,0,3035.0,220000
2,7922,1,5,7,57,3,3,4,3,3,1057.0,1,3,1057,0,1,0,3,1,4,5,0,1,0,0,0,0,0,0,2114.0,109000
3,9802,1,5,5,4,3,3,3,4,3,384.0,1,4,744,700,2,1,3,1,3,7,0,1,0,0,0,0,0,0,1828.0,174000
4,14235,1,6,8,110,17,3,3,2,4,676.0,1,3,831,614,2,0,3,1,3,6,0,1,0,0,0,0,0,0,2121.0,138500
5,16492,1,6,6,44,8,4,3,3,3,1517.0,1,5,1888,0,2,1,2,1,4,6,0,0,1,0,0,0,0,0,3405.0,190000
6,3675,1,6,5,5,4,3,3,4,3,547.0,1,4,1072,0,2,0,2,1,3,5,0,1,0,0,0,0,0,0,1619.0,140000
7,12160,1,5,5,51,51,3,3,3,3,1188.0,1,2,1188,0,1,0,3,1,3,6,0,1,0,0,0,0,0,0,2376.0,142000
8,15783,1,5,5,58,58,3,3,3,3,924.0,1,3,924,0,1,0,2,1,3,6,0,0,0,0,0,0,0,0,1848.0,112500
9,11606,1,5,5,41,41,3,3,4,3,1040.0,1,3,1040,1040,1,2,5,1,2,9,0,1,0,0,0,0,0,0,3120.0,135000
10,1680,1,6,5,39,39,3,3,3,3,483.0,1,3,483,504,1,1,2,1,3,4,0,1,0,0,0,0,0,0,1470.0,85400
11,7488,1,7,5,5,5,4,3,4,3,1208.0,1,5,1208,0,2,0,2,1,4,6,0,1,0,0,0,0,0,0,2416.0,183600
12,26400,1,5,7,130,3,4,3,0,0,0.0,1,5,1288,728,1,0,4,1,3,7,1,0,0,0,0,0,0,0,2016.0,131000
13,2645,1,8,5,11,10,4,3,4,3,960.0,1,5,962,645,2,1,3,1,4,7,0,1,0,0,0,0,0,0,2567.0,200000
14,9627,1,7,5,3,3,4,3,4,3,1351.0,1,5,1361,0,2,0,3,1,4,6,0,1,0,0,0,0,0,0,2712.0,193000
