,lot_frontage,lot_area,street,utilities,overall_qual,overall_cond,year_built,year_remod/add,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,total_bsmt_sf,heating,heating_qc,1st_flr_sf,2nd_flr_sf,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,garage_yr_blt,garage_area,garage_qual,garage_cond,pool_area,pool_qc,condition_1_Feedr,condition_1_Norm,condition_1_PosA,condition_1_PosN,condition_1_RRAe,condition_1_RRAn,condition_1_RRNe,condition_1_RRNn,bldg_type_2fmCon,bldg_type_Duplex,bldg_type_Twnhs,bldg_type_TwnhsE,paved_drive_P,paved_drive_Y,total_sf,overall_score,exter_score,bsmt_score,garage_score,saleprice
0,0.0,13517,1,1,6,8,34,5,4,3,3,3,1,725.0,1,5,725,754,2,1,3,1,4,6,1976.0,475.0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2204.0,48,12,9,9,130500
1,43.0,11492,1,1,7,5,14,13,4,3,4,3,1,913.0,1,5,913,1209,2,1,4,1,4,8,1997.0,559.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3035.0,35,12,12,9,220000
2,68.0,7922,1,1,5,7,57,3,3,4,3,3,1,1057.0,1,3,1057,0,1,0,3,1,4,5,1953.0,246.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2114.0,35,12,9,9,109000
3,73.0,9802,1,1,5,5,4,3,3,3,4,3,1,384.0,1,4,744,700,2,1,3,1,3,7,2007.0,400.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1828.0,25,9,12,9,174000
4,82.0,14235,1,1,6,8,110,17,3,3,2,4,1,676.0,1,3,831,614,2,0,3,1,3,6,1957.0,484.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2121.0,48,9,8,9,138500
5,137.0,16492,1,1,6,6,44,8,4,3,3,3,1,1517.0,1,5,1888,0,2,1,2,1,4,6,1966.0,578.0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3405.0,36,12,9,9,190000
6,35.0,3675,1,1,6,5,5,4,3,3,4,3,4,547.0,1,4,1072,0,2,0,2,1,3,5,2005.0,525.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1619.0,30,9,12,9,140000
7,0.0,12160,1,1,5,5,51,51,3,3,3,3,1,1188.0,1,2,1188,0,1,0,3,1,3,6,1959.0,531.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2376.0,25,9,9,9,142000
8,0.0,15783,1,1,5,5,58,58,3,3,3,3,1,924.0,1,3,924,0,1,0,2,1,3,6,1952.0,420.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1848.0,25,9,9,9,112500
9,70.0,11606,1,1,5,5,41,41,3,3,4,3,3,1040.0,1,3,1040,1040,1,2,5,1,2,9,1969.0,504.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3120.0,25,9,12,9,135000
10,21.0,1680,1,1,6,5,39,39,3,3,3,3,1,483.0,1,3,483,504,1,1,2,1,3,4,1971.0,264.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1470.0,30,9,9,9,85400
11,64.0,7488,1,1,7,5,5,5,4,3,4,3,3,1208.0,1,5,1208,0,2,0,2,1,4,6,2005.0,632.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2416.0,35,12,12,9,183600
12,120.0,26400,1,1,5,7,130,3,4,3,0,0,0,0.0,1,5,1288,728,1,0,4,1,3,7,1900.0,576.0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2016.0,35,12,0,9,131000
13,24.0,2645,1,1,8,5,11,10,4,3,4,3,1,960.0,1,5,962,645,2,1,3,1,4,7,2000.0,480.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2567.0,40,12,12,9,200000
14,74.0,9627,1,1,7,5,3,3,4,3,4,3,3,1351.0,1,5,1361,0,2,0,3,1,4,6,2007.0,610.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2712.0,35,12,12,9,193000
15,93.0,10114,1,1,5,5,6,5,3,3,5,3,3,1430.0,1,5,1430,0,2,0,3,1,4,7,2004.0,624.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2860.0,25,9,15,9,173500
16,34.0,4571,1,1,5,5,94,60,3,3,3,3,1,624.0,1,2,624,720,1,0,4,1,3,7,1916.0,513.0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1968.0,25,9,9,4,98000
17,80.0,8816,1,1,5,6,47,47,3,3,3,3,1,1121.0,1,3,1121,0,1,0,3,1,3,5,1963.0,480.0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2242.0,30,9,9,9,139000
18,71.0,8197,1,1,6,5,33,33,3,3,3,3,1,660.0,1,5,1285,0,1,1,3,1,3,7,1977.0,528.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1945.0,30,9,9,9,143500
19,72.0,8640,1,1,7,5,1,1,3,3,4,3,2,756.0,1,5,764,783,2,1,3,1,4,7,2009.0,614.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2303.0,35,9,12,9,215200
20,109.0,8724,1,1,5,5,42,42,3,3,4,3,1,894.0,1,4,894,0,1,0,3,1,3,5,1968.0,450.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1788.0,25,9,12,9,129000
21,40.0,5664,1,1,8,5,10,10,4,3,4,3,1,1501.0,1,5,1659,0,2,0,2,1,5,5,2000.0,499.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3160.0,40,12,12,9,278000
22,103.0,12867,1,1,8,5,5,4,4,3,5,3,3,1209.0,1,5,1209,1044,2,1,3,1,5,8,2005.0,575.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3462.0,40,12,15,9,344133
23,0.0,7980,1,1,6,7,18,3,3,4,4,3,1,1168.0,1,5,1187,0,2,0,3,1,3,6,1992.0,420.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2355.0,42,12,12,9,185000
24,100.0,34650,1,1,5,5,55,55,3,3,3,3,2,1056.0,1,3,1056,0,1,0,3,1,3,5,1955.0,572.0,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2112.0,25,9,9,9,145000
25,92.0,10573,1,1,6,6,49,49,3,3,3,3,1,1453.0,1,5,1453,0,2,0,3,1,3,6,1961.0,530.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2906.0,36,9,9,9,187500
26,65.0,8450,1,1,5,8,45,1,3,4,3,3,1,894.0,1,5,894,0,1,0,3,1,3,5,1973.0,336.0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1788.0,40,12,9,9,138500
27,0.0,11700,1,1,5,6,73,15,3,3,3,3,1,942.0,1,5,1265,673,2,0,4,1,4,7,1937.0,240.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2880.0,30,9,9,9,198000
28,75.0,8250,1,1,5,6,115,4,3,4,3,3,1,957.0,1,2,1034,957,2,0,4,2,3,9,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2948.0,30,12,9,0,119600
29,60.0,8064,1,1,5,7,61,4,3,4,3,3,2,672.0,1,5,672,252,1,0,3,1,3,6,2003.0,576.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1596.0,35,12,9,9,122900
30,80.0,9600,1,1,8,5,29,29,4,3,4,3,1,2524.0,1,3,2524,0,2,1,4,1,4,9,1981.0,542.0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5048.0,40,12,12,9,278000
31,0.0,11435,1,1,8,7,81,60,3,3,4,3,1,792.0,1,2,792,725,1,0,3,1,4,7,1931.0,400.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2309.0,56,9,12,9,230000
32,30.0,9549,1,1,8,5,15,14,4,4,4,4,3,1494.0,1,5,1494,0,1,1,2,1,5,6,1995.0,481.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2988.0,40,16,16,9,270000
33,60.0,10950,1,1,6,6,58,58,3,3,3,3,1,948.0,1,3,948,0,1,0,2,1,3,5,1952.0,410.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1896.0,36,9,9,9,125000
34,79.0,10637,1,1,8,5,3,2,4,3,5,3,4,1705.0,1,5,1718,0,2,0,3,1,4,7,2007.0,826.0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3423.0,40,12,15,9,297000
