,overall_qual,gr_liv_area,garage_area,garage_cars,total_bsmt_sf,1st_flr_sf,year_built,year_remod/add,garage_yr_blt,mas_vnr_area,totrms_abvgrd,fireplaces,bsmtfin_sf_1,lot_frontage,open_porch_sf,wood_deck_sf,lot_area,bsmt_full_bath,half_bath,2nd_flr_sf,full_bath_1,full_bath_2,full_bath_3,full_bath_4,total_sf_dom,lot_minus_total,saleprice
0,6,1479,475.0,2.0,725.0,725,34,5,1976.0,289.0,6,0,533.0,0.0,44,0,13517,0.0,1,754,0,1,0,0,2012.0,11505.0,130500
1,7,2122,559.0,2.0,913.0,913,14,13,1997.0,132.0,8,1,637.0,43.0,74,0,11492,1.0,1,1209,0,1,0,0,2759.0,8733.0,220000
2,5,1057,246.0,1.0,1057.0,1057,57,3,1953.0,0.0,5,0,731.0,68.0,52,0,7922,1.0,0,0,1,0,0,0,1788.0,6134.0,109000
3,5,1444,400.0,2.0,384.0,744,4,3,2007.0,0.0,7,0,0.0,73.0,0,100,9802,0.0,1,700,0,1,0,0,1444.0,8358.0,174000
4,6,1445,484.0,2.0,676.0,831,110,17,1957.0,0.0,6,0,0.0,82.0,59,0,14235,0.0,0,614,0,1,0,0,1445.0,12790.0,138500
5,6,1888,578.0,2.0,1517.0,1888,44,8,1966.0,0.0,6,1,247.0,137.0,0,0,16492,0.0,1,0,0,1,0,0,2135.0,14357.0,190000
6,6,1072,525.0,2.0,547.0,1072,5,4,2005.0,82.0,5,0,547.0,35.0,44,0,3675,1.0,0,0,0,1,0,0,1619.0,2056.0,140000
7,5,1188,531.0,2.0,1188.0,1188,51,51,1959.0,180.0,6,0,1000.0,0.0,0,0,12160,1.0,0,0,1,0,0,0,2188.0,9972.0,142000
8,5,924,420.0,1.0,924.0,924,58,58,1952.0,0.0,6,0,292.0,0.0,324,0,15783,0.0,0,0,1,0,0,0,1216.0,14567.0,112500
9,5,2080,504.0,2.0,1040.0,1040,41,41,1969.0,192.0,9,2,650.0,70.0,0,335,11606,0.0,2,1040,1,0,0,0,2730.0,8876.0,135000
10,6,987,264.0,1.0,483.0,483,39,39,1971.0,232.0,4,0,387.0,21.0,0,0,1680,0.0,1,504,1,0,0,0,1374.0,306.0,85400
11,7,1208,632.0,2.0,1208.0,1208,5,5,2005.0,0.0,6,0,393.0,64.0,58,105,7488,0.0,0,0,0,1,0,0,1601.0,5887.0,183600
12,5,2016,576.0,2.0,0.0,1288,130,3,1900.0,0.0,7,1,0.0,120.0,0,0,26400,0.0,0,728,1,0,0,0,2016.0,24384.0,131000
13,8,1607,480.0,2.0,960.0,962,11,10,2000.0,456.0,7,0,813.0,24.0,0,169,2645,1.0,1,645,0,1,0,0,2420.0,225.0,200000
14,7,1361,610.0,2.0,1351.0,1361,3,3,2007.0,0.0,6,0,24.0,74.0,50,0,9627,0.0,0,0,0,1,0,0,1385.0,8242.0,193000
15,5,1430,624.0,2.0,1430.0,1430,6,5,2004.0,0.0,7,0,0.0,93.0,0,0,10114,0.0,0,0,0,1,0,0,1430.0,8684.0,173500
16,5,1344,513.0,3.0,624.0,624,94,60,1916.0,0.0,7,0,0.0,34.0,0,0,4571,0.0,0,720,1,0,0,0,1344.0,3227.0,98000
17,5,1121,480.0,2.0,1121.0,1121,47,47,1963.0,0.0,5,0,651.0,80.0,80,0,8816,1.0,0,0,1,0,0,0,1772.0,7044.0,139000
18,6,1285,528.0,2.0,660.0,1285,33,33,1977.0,148.0,7,1,0.0,71.0,0,138,8197,0.0,1,0,1,0,0,0,1285.0,6912.0,143500
19,7,1547,614.0,2.0,756.0,764,1,1,2009.0,0.0,7,0,24.0,72.0,45,169,8640,0.0,1,783,0,1,0,0,1571.0,7069.0,215200
